name,Score,Variance,MSE
DecisionTreeRegressor,0.796,5791096792.82,1416794979.391
KNeighborsRegressor,0.278,5039303852.505,4767924010.494
LGBMRegressor,0.91,5769753692.151,614381260.309
LinearRegression,0.871,5713463134.479,1286978344.018
RandomForestRegressor,0.899,5301430538.394,768916559.867
