name,Score,Variance,MSE
DecisionTreeRegressor,0.8,5781311605.843,1412329368.892
KNeighborsRegressor,0.291,5000611442.693,4722683987.879
LGBMRegressor,0.902,5800592104.722,686633345.296
LinearRegression,0.846,5481269073.629,1456500140.906
RandomForestRegressor,0.902,5527661684.591,725783148.127
